date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
22:52:44	132/132	---MC-	404	error ('Not%20Found')	text/xml	date:Wed,%2003%20Oct%202018%2020:52:42%20GMT	https://constructionbim.faro.com/wp-json/oembed/1.0/embed?url=https%3A%2F%2Fconstructionbim.faro.com%2Fin%2Fcivil-survey%2F&format=xml	C:/Dev/WebsiteCopy/FaroBIMCIM/constructionbim.faro.com/wp-json/oembed/1.0/embed05c2	(from https://constructionbim.faro.com/in/civil-survey/)
22:52:45	73/73	---MC-	404	error ('Not%20Found')	application/json	date:Wed,%2003%20Oct%202018%2020:52:43%20GMT	https://constructionbim.faro.com/wp-json/oembed/1.0/embed?url=https%3A%2F%2Fconstructionbim.faro.com%2Fin%2Fcontact-us%2F	C:/Dev/WebsiteCopy/FaroBIMCIM/constructionbim.faro.com/wp-json/oembed/1.0/embed888b	(from https://constructionbim.faro.com/in/contact-us/)
22:52:46	132/132	---MC-	404	error ('Not%20Found')	text/xml	date:Wed,%2003%20Oct%202018%2020:52:44%20GMT	https://constructionbim.faro.com/wp-json/oembed/1.0/embed?url=https%3A%2F%2Fconstructionbim.faro.com%2Fin%2Fcontact-us%2F&format=xml	C:/Dev/WebsiteCopy/FaroBIMCIM/constructionbim.faro.com/wp-json/oembed/1.0/embed2c5e	(from https://constructionbim.faro.com/in/contact-us/)
22:52:46	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Wed,%2003%20Oct%202018%2020:52:44%20GMT	https://constructionbim.faro.com/?p=428	C:/Dev/WebsiteCopy/FaroBIMCIM/constructionbim.faro.com/indexc7ce.html	(from https://constructionbim.faro.com/in/contact-us/)
22:52:47	73/73	---MC-	404	error ('Not%20Found')	application/json	date:Wed,%2003%20Oct%202018%2020:52:44%20GMT	https://constructionbim.faro.com/wp-json/oembed/1.0/embed?url=https%3A%2F%2Fconstructionbim.faro.com%2Fin%2Fheritage%2F	C:/Dev/WebsiteCopy/FaroBIMCIM/constructionbim.faro.com/wp-json/oembed/1.0/embedf499	(from https://constructionbim.faro.com/in/heritage/)
22:52:47	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Wed,%2003%20Oct%202018%2020:52:45%20GMT	https://constructionbim.faro.com/?p=1723	C:/Dev/WebsiteCopy/FaroBIMCIM/constructionbim.faro.com/index44ed.html	(from https://constructionbim.faro.com/in/heritage/)
22:52:47	132/132	---MC-	404	error ('Not%20Found')	text/xml	date:Wed,%2003%20Oct%202018%2020:52:45%20GMT	https://constructionbim.faro.com/wp-json/oembed/1.0/embed?url=https%3A%2F%2Fconstructionbim.faro.com%2Fin%2Fheritage%2F&format=xml	C:/Dev/WebsiteCopy/FaroBIMCIM/constructionbim.faro.com/wp-json/oembed/1.0/embedc5ed	(from https://constructionbim.faro.com/in/heritage/)
22:52:48	73/73	---MC-	404	error ('Not%20Found')	application/json	date:Wed,%2003%20Oct%202018%2020:52:46%20GMT	https://constructionbim.faro.com/wp-json/oembed/1.0/embed?url=https%3A%2F%2Fconstructionbim.faro.com%2Fin%2Ffacility-management%2F	C:/Dev/WebsiteCopy/FaroBIMCIM/constructionbim.faro.com/wp-json/oembed/1.0/embedc53d	(from https://constructionbim.faro.com/in/facility-management/)
22:52:48	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Wed,%2003%20Oct%202018%2020:52:46%20GMT	https://constructionbim.faro.com/?p=1728	C:/Dev/WebsiteCopy/FaroBIMCIM/constructionbim.faro.com/index3ac4.html	(from https://constructionbim.faro.com/in/facility-management/)
22:52:49	132/132	---MC-	404	error ('Not%20Found')	text/xml	date:Wed,%2003%20Oct%202018%2020:52:46%20GMT	https://constructionbim.faro.com/wp-json/oembed/1.0/embed?url=https%3A%2F%2Fconstructionbim.faro.com%2Fin%2Ffacility-management%2F&format=xml	C:/Dev/WebsiteCopy/FaroBIMCIM/constructionbim.faro.com/wp-json/oembed/1.0/embed8cf8	(from https://constructionbim.faro.com/in/facility-management/)
22:52:49	73/73	---MC-	404	error ('Not%20Found')	application/json	date:Wed,%2003%20Oct%202018%2020:52:47%20GMT	https://constructionbim.faro.com/wp-json/oembed/1.0/embed?url=https%3A%2F%2Fconstructionbim.faro.com%2Fmx%2Farquitectura%2F	C:/Dev/WebsiteCopy/FaroBIMCIM/constructionbim.faro.com/wp-json/oembed/1.0/embedbb38	(from https://constructionbim.faro.com/mx/arquitectura/)
